,text,id,created_at,entities
0,"RT @WHCOVIDResponse: If you're enjoying our COVID-19 briefings, here's a chance to ask our experts your own questions directly! Tomorrow, D…",1357116654052868097,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'WHCOVIDResponse'}]}"
1,RT @kylegriffin1: Reuters: U.S. HOUSE APPROVES BUDGET PLAN THAT ALLOWS DEMOCRATS TO PASS COVID RELIEF BILL WITHOUT REPUBLICAN SUPPORT,1357116654040276994,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'kylegriffin1'}], 'annotations': [{'start': 18, 'end': 24, 'probability': 0.5081, 'type': 'Organization', 'normalized_text': 'Reuters'}, {'start': 27, 'end': 30, 'probability': 0.5983, 'type': 'Place', 'normalized_text': 'U.S.'}, {'start': 71, 'end': 79, 'probability': 0.9145, 'type': 'Organization', 'normalized_text': 'DEMOCRATS'}, {'start': 115, 'end': 124, 'probability': 0.5233, 'type': 'Organization', 'normalized_text': 'REPUBLICAN'}]}"
2,"RT @AODNewz: At a special education town hall, someone asks Carranza if the maximum age that district 75 students could graduate be 22 inst…",1357116653981609985,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'AODNewz'}], 'annotations': [{'start': 60, 'end': 67, 'probability': 0.4087, 'type': 'Place', 'normalized_text': 'Carranza'}]}"
3,"RT @Mippcivzla: 🗣️ ¡𝐓𝐎𝐌𝐀 𝐏𝐑𝐄𝐂𝐀𝐔𝐂𝐈𝐎́𝐍!✍️🇻🇪
Es importante tener en cuenta las medidas de prevención del coronavirus.
No podemos bajar la guar…",1357116653797015552,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Mippcivzla'}]}"
4,"https://t.co/DOoQPZhoAv

setuju artikel ini sih , penanganan pandemi ini bisa dikatakan nilainya cuma 30 dari 100 , parah banget , optimisme , sugarcoating , positivity ngga akan membuat kita kebal corona",1357116653713068032,2021-02-03T23:59:58.000Z,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DOoQPZhoAv', 'expanded_url': 'https://m.cnnindonesia.com/nasional/20210202161703-20-601408/kenapa-pemerintah-sulit-sekali-jujur-soal-corona', 'display_url': 'm.cnnindonesia.com/nasional/20210…'}]}"
5,RT @esglaude: Within days over 450000 Americans will have died from COVID-19.  We have some difficult days ahead still. Maybe we can design…,1357116653587353602,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'esglaude'}]}"
6,RT @guardian: Covid variants don’t have nationalities | Brief letters https://t.co/xRhbWS83r5,1357116653520101376,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'guardian'}], 'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/xRhbWS83r5', 'expanded_url': 'https://www.theguardian.com/world/2021/feb/03/covid-variants-dont-have-nationalities?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1612395917', 'display_url': 'theguardian.com/world/2021/feb…'}]}"
7,"RT @OrlandoRPN: Infografías de Manejo de COVID-19 Severo y Crítico de la Society of Critical Care Medicine #SCCM: 
1️⃣ Manejo Farmacológico…",1357116653515997184,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'OrlandoRPN'}], 'annotations': [{'start': 73, 'end': 105, 'probability': 0.2884, 'type': 'Other', 'normalized_text': 'Society of Critical Care Medicine'}], 'hashtags': [{'start': 107, 'end': 112, 'tag': 'SCCM'}]}"
8,"RT @observationpt: Government paid Twiggy Forrest $212 million for COVID tests, PPE https://t.co/4vHWj4yCvH",1357116653390073857,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'observationpt'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/4vHWj4yCvH', 'expanded_url': 'https://thenewdaily.com.au/news/2021/02/03/twiggy-forest-covid-tests/', 'display_url': 'thenewdaily.com.au/news/2021/02/0…'}], 'annotations': [{'start': 35, 'end': 48, 'probability': 0.8991, 'type': 'Person', 'normalized_text': 'Twiggy Forrest'}]}"
9,"@hugetion ""Cuando el Covid nos alcance""",1357116653335678977,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 9, 'username': 'hugetion'}]}"
10,"RT @GustavoNajeraO1: #MxMExige
En el Fondo de Resistencia Sindical están depositados recursos de tod@s los que integramos el #SNTE. Hoy, ex…",1357116653176315907,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'GustavoNajeraO1'}], 'annotations': [{'start': 37, 'end': 65, 'probability': 0.2914, 'type': 'Place', 'normalized_text': 'Fondo de Resistencia Sindical'}], 'hashtags': [{'start': 21, 'end': 30, 'tag': 'MxMExige'}, {'start': 125, 'end': 130, 'tag': 'SNTE'}]}"
11,"RT @mkraju: 218-212, the House narrowly approves non-binding budget blueprint that sets the stage for Democrats to use reconciliation legis…",1357116653163565056,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'mkraju'}], 'annotations': [{'start': 102, 'end': 110, 'probability': 0.9295, 'type': 'Organization', 'normalized_text': 'Democrats'}]}"
12,RT @peopleenespanol: Anahí y Manuel Velasco le organizaron una fiesta en casa a su hijo Emiliano ya recuperados del coronavirus. ¡Qué ternu…,1357116652991692801,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'peopleenespanol'}], 'annotations': [{'start': 21, 'end': 25, 'probability': 0.9857, 'type': 'Person', 'normalized_text': 'Anahí'}, {'start': 29, 'end': 42, 'probability': 0.9956, 'type': 'Person', 'normalized_text': 'Manuel Velasco'}, {'start': 88, 'end': 95, 'probability': 0.9133, 'type': 'Person', 'normalized_text': 'Emiliano'}]}"
13,RT @POTUS: Let me be clear: The risk in this moment isn’t that we do too much — it’s that we don’t do enough. Congress must pass the Americ…,1357116652953993217,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 9, 'username': 'POTUS'}]}"
14,"RT @MurrayWatt: Scott Morrison reckons he’s shut down Craig Kelly, but George Christensen &amp; Matt Canavan are now on the COVID conspiracy tr…",1357116652928733184,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'MurrayWatt'}], 'annotations': [{'start': 16, 'end': 29, 'probability': 0.9971, 'type': 'Person', 'normalized_text': 'Scott Morrison'}, {'start': 54, 'end': 64, 'probability': 0.9981, 'type': 'Person', 'normalized_text': 'Craig Kelly'}, {'start': 71, 'end': 88, 'probability': 0.9974, 'type': 'Person', 'normalized_text': 'George Christensen'}, {'start': 92, 'end': 103, 'probability': 0.9901, 'type': 'Person', 'normalized_text': 'Matt Canavan'}]}"
15,"RT @DrEricDing: ""None of us were able to predict"" #COVID19 would mutate or variants would emerge, says Dido Harding, head of 🇬🇧 National In…",1357116652895105027,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'annotations': [{'start': 103, 'end': 114, 'probability': 0.9125, 'type': 'Person', 'normalized_text': 'Dido Harding'}], 'hashtags': [{'start': 50, 'end': 58, 'tag': 'COVID19'}]}"
16,RT @ScottHech: This civil rights attorney in Oregon filed a case arguing it is cruel and unusual punishment to exclude people incarcerated…,1357116652769472514,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'ScottHech'}], 'annotations': [{'start': 45, 'end': 50, 'probability': 0.9911, 'type': 'Place', 'normalized_text': 'Oregon'}]}"
17,"RT @AlexandriaVAPD: Parking Enforcement Officer Edward Bonds passed away from complications related to COVID-19 on Thursday, January 28, 20…",1357116652714917888,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'AlexandriaVAPD'}], 'annotations': [{'start': 48, 'end': 59, 'probability': 0.5922, 'type': 'Person', 'normalized_text': 'Edward Bonds'}]}"
18,RT @reporterchris: Approximately 90 different players have appeared on the NHL's COVID Protocol list during the first three weeks of the se…,1357116652714790913,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'reporterchris'}], 'annotations': [{'start': 75, 'end': 77, 'probability': 0.9371, 'type': 'Organization', 'normalized_text': 'NHL'}]}"
19,RT @RTultimahora: ÚLTIMA HORA: Suiza no aprueba la vacuna contra el covid-19 de AstraZeneca por datos insuficientes https://t.co/tXuXyLqUEN…,1357116652588920832,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'RTultimahora'}], 'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/tXuXyLqUEN', 'expanded_url': 'https://es.rt.com/8727', 'display_url': 'es.rt.com/8727'}], 'annotations': [{'start': 31, 'end': 35, 'probability': 0.7015, 'type': 'Place', 'normalized_text': 'Suiza'}]}"
20,"RT @CarlosLoret: El gobierno que vende esperanza con la vacuna contra el COVID19,  no ha podido ni cumplir con las vacunas básicas. El peli…",1357116652568125440,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'CarlosLoret'}]}"
21,"RT @tumbaburross: Siempre hemos tenido deficiencias en nuestro sistema de salud, pero lo de hoy es inhumano.

Están dejando morir a la gent…",1357116652530376705,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'tumbaburross'}]}"
22,"@yoni_ZeTigray @EsheteBekele https://t.co/5gvfR7Z4o9

Merkel called Abiy exchanged views on the domestic, regional security,bilateral coop., emphasized the importance of a peaceful solution &amp; humanitarian care. Humanitarian aid org. &amp; the media must be given free access 
talked about the economy&amp;Covid",1357116652488384515,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'yoni_ZeTigray'}, {'start': 15, 'end': 28, 'username': 'EsheteBekele'}], 'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/5gvfR7Z4o9', 'expanded_url': 'https://bit.ly/39IYqO2', 'display_url': 'bit.ly/39IYqO2'}], 'annotations': [{'start': 54, 'end': 59, 'probability': 0.7923, 'type': 'Person', 'normalized_text': 'Merkel'}, {'start': 68, 'end': 71, 'probability': 0.7359, 'type': 'Person', 'normalized_text': 'Abiy'}]}"
23,"RT @AkNanoDiana: @rayfibiris Me contaron de una ciudad que se llama ""Ba Sing Se"" en la que se aislaron perfectamente y está libre de covid…",1357116652379381766,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'AkNanoDiana'}, {'start': 17, 'end': 28, 'username': 'rayfibiris'}], 'annotations': [{'start': 69, 'end': 75, 'probability': 0.5941, 'type': 'Person', 'normalized_text': 'Ba Sing'}]}"
24,sexta feira possivelmente eu e andreza ja estariamos se arrumando pro fuzuê e essa vida de puta de corona virus,1357116652253495296,2021-02-03T23:59:58.000Z,None
25,"@noagoyas @MiraiKanashi nn mais j'ai passer une 3eme affreuse perso, sans le covid j'aurais arreté les cours à 50% parce que j'avais aucune motiv donc autant pas se forcer (je lui dis pas d'avoir des 20 mdr il sécurise des points et c bon)",1357116652006080513,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 9, 'username': 'noagoyas'}, {'start': 10, 'end': 23, 'username': 'MiraiKanashi'}]}"
26,"RT @redrabbleroz: If you want to understand why #COVID19 racism was not taken seriously in Australia, this makes it obvious why. Those who…",1357116651888463874,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'redrabbleroz'}], 'annotations': [{'start': 91, 'end': 99, 'probability': 0.9984, 'type': 'Place', 'normalized_text': 'Australia'}], 'hashtags': [{'start': 48, 'end': 56, 'tag': 'COVID19'}]}"
27,RT @RapSheet: A good sign on the Wednesday before Super Bowl LV: Both the #Chiefs and #Bucs players are clear of COVID-19 issues based on t…,1357116651842502657,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'RapSheet'}], 'hashtags': [{'start': 74, 'end': 81, 'tag': 'Chiefs'}, {'start': 86, 'end': 91, 'tag': 'Bucs'}]}"
28,RT @pindrow: @caaptusss Pour être constructif par rapport à l’Inde j’ai trouvé ces chiffres intéressant : ~ 50% de la population &lt; à 25 ans…,1357116651737649152,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'pindrow'}, {'start': 13, 'end': 23, 'username': 'caaptusss'}]}"
29,RT @anluma99: Diputada de Vox compara los test rectales para el COVID con una violación https://t.co/Q7wg4VK1Y1,1357116651725090816,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'anluma99'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/Q7wg4VK1Y1', 'expanded_url': 'https://jotapov.com/2021/02/03/diputada-de-vox-compara-los-test-rectales-para-el-covid-con-una-violacion/', 'display_url': 'jotapov.com/2021/02/03/dip…'}], 'annotations': [{'start': 26, 'end': 28, 'probability': 0.8744, 'type': 'Organization', 'normalized_text': 'Vox'}]}"
30,@vtello1981 @federalesdechi @jhsamayoa @SosimoRovira @Liga_Arco @ClubNaranjeros @ProbeisOficial @tripleplaypty @grandeasahid425 @MiDiarioPanama @RTPanama @SportimeEventos @beisboldecaribe El Mexicano lanzador WALTER SILVA en reemplazo de JAIME BARRIA utilizará el número 11. El otro refuerzo es el Mexicano JOSE SAMOYOA en reemplazo de JOEL ESPINAL (coronavirus) usará el número 15.,1357116651691458562,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'vtello1981'}, {'start': 12, 'end': 27, 'username': 'federalesdechi'}, {'start': 28, 'end': 38, 'username': 'jhsamayoa'}, {'start': 39, 'end': 52, 'username': 'SosimoRovira'}, {'start': 53, 'end': 63, 'username': 'Liga_Arco'}, {'start': 64, 'end': 79, 'username': 'ClubNaranjeros'}, {'start': 80, 'end': 95, 'username': 'ProbeisOficial'}, {'start': 96, 'end': 110, 'username': 'tripleplaypty'}, {'start': 111, 'end': 127, 'username': 'grandeasahid425'}, {'start': 128, 'end': 143, 'username': 'MiDiarioPanama'}, {'start': 144, 'end': 153, 'username': 'RTPanama'}, {'start': 154, 'end': 170, 'username': 'SportimeEventos'}, {'start': 171, 'end': 187, 'username': 'beisboldecaribe'}], 'annotations': [{'start': 209, 'end': 220, 'probability': 0.9719, 'type': 'Person', 'normalized_text': 'WALTER SILVA'}, {'start': 238, 'end': 249, 'probability': 0.9797, 'type': 'Person', 'normalized_text': 'JAIME BARRIA'}, {'start': 298, 'end': 318, 'probability': 0.3282, 'type': 'Person', 'normalized_text': 'Mexicano JOSE SAMOYOA'}, {'start': 336, 'end': 347, 'probability': 0.9963, 'type': 'Person', 'normalized_text': 'JOEL ESPINAL'}]}"
31,"RT @JohnJHarwood: new Quinnipiac Poll on how Americans view Biden’s $1.9T covid-relief plan:

Democrats: 97% support,
3% oppose

independen…",1357116651682951171,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'JohnJHarwood'}], 'annotations': [{'start': 22, 'end': 31, 'probability': 0.6212, 'type': 'Organization', 'normalized_text': 'Quinnipiac'}, {'start': 60, 'end': 64, 'probability': 0.9613, 'type': 'Person', 'normalized_text': 'Biden'}]}"
32,RT @Viri_Rios: 1. Hoy les quiero platicar por qué @MeyerFalcon es uno de los funcionarios que más podría ayudar a reducir la mortalidad por…,1357116651674734592,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'Viri_Rios'}, {'start': 50, 'end': 62, 'username': 'MeyerFalcon'}]}"
33,RT @POTUS: Let me be clear: The risk in this moment isn’t that we do too much — it’s that we don’t do enough. Congress must pass the Americ…,1357116651632689153,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 9, 'username': 'POTUS'}]}"
34,"RT @nati_azeredo: https://t.co/sR2YJTmwZ1
O somatório dos gastos dos municípios do RS com medicamentos sem evidência científica para a COVI…",1357116651511164932,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'nati_azeredo'}], 'urls': [{'start': 18, 'end': 41, 'url': 'https://t.co/sR2YJTmwZ1', 'expanded_url': 'https://www.ufrgs.br/jornal/aquisicao-de-medicamentos-para-o-enfrentamento-da-covid-19-no-rs/', 'display_url': 'ufrgs.br/jornal/aquisic…'}], 'annotations': [{'start': 83, 'end': 84, 'probability': 0.8614, 'type': 'Place', 'normalized_text': 'RS'}]}"
35,RT @Bisniscom: Sri Mulyani Potong Insentif Tenaga Kesehatan Covid-19 https://t.co/4wsQb8V29M,1357116651196436480,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'Bisniscom'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/4wsQb8V29M', 'expanded_url': 'https://ekonomi.bisnis.com/read/20210203/10/1351786/sri-mulyani-potong-insentif-tenaga-kesehatan-covid-19?utm_source=dlvr.it&utm_medium=twitter', 'display_url': 'ekonomi.bisnis.com/read/20210203/…'}]}"
36,"RT @allinwithchris: “If there is a good degree of infection and spread in any part of the world, it’s always a threat to where you are. So,…",1357116650882031622,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'allinwithchris'}]}"
37,"RT @NicolasMaduro: El Carvativir, las gotitas milagrosas de José Gregorio Hernández, neutralizan los síntomas del Coronavirus. ¡De Venezuel…",1357116650676506627,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'NicolasMaduro'}], 'annotations': [{'start': 60, 'end': 82, 'probability': 0.9858, 'type': 'Person', 'normalized_text': 'José Gregorio Hernández'}, {'start': 114, 'end': 124, 'probability': 0.3799, 'type': 'Organization', 'normalized_text': 'Coronavirus'}]}"
38,RT @POTUS: Let me be clear: The risk in this moment isn’t that we do too much — it’s that we don’t do enough. Congress must pass the Americ…,1357116650542227458,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 9, 'username': 'POTUS'}]}"
39,"RT @Solchi1986: Empezó la campaña anti escuela 

https://t.co/5mTN6rbfud",1357116650454138881,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Solchi1986'}], 'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/5mTN6rbfud', 'expanded_url': 'https://www.lagaceta.com.ar/nota/879230/actualidad/salta-murio-nino-8-anos-covid19.html?utm_source=Whatsapp&utm_medium=Social&utm_campaign=botonmovil', 'display_url': 'lagaceta.com.ar/nota/879230/ac…'}]}"
40,"@enricosp_ ah, meu filho, aí é DIRETORA VEM CÁ COMO É ISSO AQUI? ACABOU COVID FOI HM",1357116650345160704,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'enricosp_'}]}"
41,"@fox5dc @WPGC CORONAVIRUS: The reports on the coronavirus must not b accurate! Cus, the reports I’m hearing is the virus 🦠 is spiking! Then the next report is kids mite b goin back 2 school 🏫! That is insane!",1357116650311540742,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 7, 'username': 'fox5dc'}, {'start': 8, 'end': 13, 'username': 'WPGC'}]}"
42,"RT @GOPChairwoman: Democrats have already admitted to playing politics by delaying important legislation like COVID relief.
 
With their pr…",1357116650236112896,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'GOPChairwoman'}], 'annotations': [{'start': 19, 'end': 27, 'probability': 0.9273, 'type': 'Organization', 'normalized_text': 'Democrats'}]}"
43,"RT @ZHBuchanan: A brief health PSA thread from me:

I am a healthy, young, fit 33-year-old man. Two months ago, I had COVID-19. I got over…",1357116650068324352,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'ZHBuchanan'}]}"
44,"UC San Diego will open a #COVIDVaccination site on campus Monday, February 8, 2021. The site will primarily serve vaccination-eligible @UCSDHealth patients as well as UC San Diego faculty and staff. #COVID19 #ReturntoLearn 

https://t.co/H5j1iZxGag",1357116650064019456,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 135, 'end': 146, 'username': 'UCSDHealth'}], 'urls': [{'start': 225, 'end': 248, 'url': 'https://t.co/H5j1iZxGag', 'expanded_url': 'http://bit.ly/3pM1Fdp', 'display_url': 'bit.ly/3pM1Fdp'}], 'annotations': [{'start': 0, 'end': 11, 'probability': 0.6569, 'type': 'Organization', 'normalized_text': 'UC San Diego'}, {'start': 167, 'end': 178, 'probability': 0.7541, 'type': 'Organization', 'normalized_text': 'UC San Diego'}], 'hashtags': [{'start': 25, 'end': 42, 'tag': 'COVIDVaccination'}, {'start': 199, 'end': 207, 'tag': 'COVID19'}, {'start': 208, 'end': 222, 'tag': 'ReturntoLearn'}]}"
45,@irem_cicek Katılıyorum. Ayrıca zam nedeniyle suçlanan yada covid salgını nedeniyle destek verilmeden kapatma /kısıtlama uygulanan işletme sahipleri ticari kayıpları için dava açsa ...,1357116650009542658,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'irem_cicek'}]}"
46,"RT @gildedfrost: as a queer man, this headline gives me a massively different impression than what was intended, because the last thing we…",1357116649913126915,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'gildedfrost'}]}"
47,RT @mambi26: Tourists will be able to opt-in to receiving the Cuban coronavirus vaccine (Soberana or Mambisa) upon arrival in Cuba. https:/…,1357116649904566274,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'mambi26'}], 'annotations': [{'start': 126, 'end': 129, 'probability': 0.9932, 'type': 'Place', 'normalized_text': 'Cuba'}]}"
48,"RT @CSakwah: Thieves within CBD keep on inventing new styles of robbing people. Slightly less than a year ago, I was almost robbed inside J…",1357116649590173702,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'CSakwah'}]}"
49,"RT @CancilleriaVE: Durante el encuentro telemático la viceministra Gloria Carvalho, expuso los ajustes implementados en la Plataforma Patri…",1357116649573388288,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'CancilleriaVE'}], 'annotations': [{'start': 67, 'end': 81, 'probability': 0.9732, 'type': 'Person', 'normalized_text': 'Gloria Carvalho'}, {'start': 123, 'end': 138, 'probability': 0.2924, 'type': 'Place', 'normalized_text': 'Plataforma Patri'}]}"
50,This A/B testing guide can help you squeeze the most out of your marketing in the post-corona world 👇 #ABtesting #CRO #DigitalMarketing https://t.co/r4VUS3I9Gc,1357116649535664133,2021-02-03T23:59:57.000Z,"{'urls': [{'start': 136, 'end': 159, 'url': 'https://t.co/r4VUS3I9Gc', 'expanded_url': 'https://www.pallav.io/ab-testing-methodology/', 'display_url': 'pallav.io/ab-testing-met…'}], 'hashtags': [{'start': 102, 'end': 112, 'tag': 'ABtesting'}, {'start': 113, 'end': 117, 'tag': 'CRO'}, {'start': 118, 'end': 135, 'tag': 'DigitalMarketing'}]}"
51,RT @DGHisham: Kadar kebolehjangkitan Covid-19 atau Ro/Rt pada jangkaan mengikut kes seharian pada 3 Februari 2021 untuk seluruh negara adal…,1357116649296388097,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'DGHisham'}]}"
52,"Maskeran gak gelem, corona gak percoyo, bantuan njaluk oleh ndisik'i. Gak ilok'e orepmu",1357116649267105795,2021-02-03T23:59:57.000Z,None
53,"RT @lanacionweb: El gremio médico del Táchira nuevamente de luto.
El doctor, único  neurocirujano infantil del Táchira  Carlos Colmenares,…",1357116649204285443,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'lanacionweb'}], 'annotations': [{'start': 38, 'end': 44, 'probability': 0.5542, 'type': 'Organization', 'normalized_text': 'Táchira'}, {'start': 120, 'end': 136, 'probability': 0.832, 'type': 'Person', 'normalized_text': 'Carlos Colmenares'}]}"
54,"RT @CancilleriaVE: Durante el encuentro telemático la viceministra Gloria Carvalho, expuso los ajustes implementados en la Plataforma Patri…",1357116649200099337,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'CancilleriaVE'}], 'annotations': [{'start': 67, 'end': 81, 'probability': 0.9732, 'type': 'Person', 'normalized_text': 'Gloria Carvalho'}, {'start': 123, 'end': 138, 'probability': 0.2924, 'type': 'Place', 'normalized_text': 'Plataforma Patri'}]}"
55,"RT @Bernat_Deltell: Tres titulares:

1. El BCE sitúa a España a la cola de la zona euro en gasto para hacer frente a la crisis
2. El paro j…",1357116649153953795,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'Bernat_Deltell'}], 'annotations': [{'start': 43, 'end': 45, 'probability': 0.939, 'type': 'Organization', 'normalized_text': 'BCE'}, {'start': 55, 'end': 60, 'probability': 0.9834, 'type': 'Place', 'normalized_text': 'España'}]}"
56,RT @noticiascyl: El coordinador en CyL de Medicina Interna frente al Covid: “No había visto tantas habitaciones de matrimonios juntos. Son…,1357116649086853133,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'noticiascyl'}], 'annotations': [{'start': 35, 'end': 57, 'probability': 0.2444, 'type': 'Place', 'normalized_text': 'CyL de Medicina Interna'}, {'start': 69, 'end': 73, 'probability': 0.4028, 'type': 'Organization', 'normalized_text': 'Covid'}]}"
57,"RT @evamayha: ""Javier Castillo Maradiaga is currently facing imminent deportation due to these obstructions of protocol set by the acting P…",1357116649032339458,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'evamayha'}], 'annotations': [{'start': 15, 'end': 39, 'probability': 0.9861, 'type': 'Person', 'normalized_text': 'Javier Castillo Maradiaga'}]}"
58,Best caption to what I’m thinking gets a COVID safe virtual high five 🤚🏽+✋🏽=🙏🏽 https://t.co/Vgs1MuyAvL,1357116648919076867,2021-02-03T23:59:57.000Z,"{'urls': [{'start': 79, 'end': 102, 'url': 'https://t.co/Vgs1MuyAvL', 'expanded_url': 'https://www.instagram.com/p/CK2XD8dDh4Z/?igshid=13ywn239kfamk', 'display_url': 'instagram.com/p/CK2XD8dDh4Z/…'}]}"
59,The ⁦@FLUMC⁩ set a goal of sharing 3 million meals with our neighbors across #Florida during #covid.  This 90 second update will lift your spirit!  https://t.co/yW2RIOVWTS,1357116648919031809,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 5, 'end': 11, 'username': 'FLUMC'}], 'urls': [{'start': 148, 'end': 171, 'url': 'https://t.co/yW2RIOVWTS', 'expanded_url': 'https://fb.watch/3qYzqvTd9k/', 'display_url': 'fb.watch/3qYzqvTd9k/'}], 'hashtags': [{'start': 77, 'end': 85, 'tag': 'Florida'}, {'start': 93, 'end': 99, 'tag': 'covid'}]}"
60,RT @Isabel390854965: El COVID-19 es el peor enemigo de la gente con pocos recursos,1357116648872943621,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'Isabel390854965'}]}"
61,RT @saribes: El MHP @KRLS ha exposat avui dades del Banc Central Europeu que situen #Espanya com el país amb MENYS INVERSIÓ PER AFRONTAR EL…,1357116648776495105,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'saribes'}, {'start': 20, 'end': 25, 'username': 'KRLS'}], 'hashtags': [{'start': 84, 'end': 92, 'tag': 'Espanya'}]}"
62,RT @Revolucion3_0: Bots de la derecha son sorprendidos organizando ataques para saturar página de registro de vacunación anti COVID-19 http…,1357116648575164418,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'Revolucion3_0'}]}"
